username,anora,conclave,the-brutalist,emilia-perez,nickel-boys,wicked-2024,maria-2024,oppenheimer-2023,poor-things-2023,the-holdovers,american-fiction,everything-everywhere-all-at-once,all-quiet-on-the-western-front-2022,the-fabelmans,the-banshees-of-inisherin,women-talking,top-gun-maverick,elvis-2022,coda-2021,the-power-of-the-dog,west-side-story-2021,dont-look-up-2021,king-richard,tick-tick-boom-2021,dune-2021,mank,nomadland,the-trial-of-the-chicago-7,borat-subsequent-moviefilm,promising-young-woman,palm-springs-2020,parasite-2019,1917,once-upon-a-time-in-hollywood,jojo-rabbit,green-book,roma-2018,black-panther,bohemian-rhapsody,eighth-grade,can-you-ever-forgive-me,the-favourite,cold-war-2018,the-shape-of-water,three-billboards-outside-ebbing-missouri,lady-bird,get-out-2017,call-me-by-your-name,dunkirk-2017,i-tonya,blade-runner-2049,moonlight-2016,la-la-land,hidden-figures,arrival-2016,lion,spotlight,the-big-short,the-revenant-2015,the-martian,mad-max-fury-road,birdman-or-the-unexpected-virtue-of-ignorance,boyhood,the-grand-budapest-hotel,the-imitation-game
jay,0.49,0.49,,,0.97,0.0,,1.46,1.46,,-0.49,0.0,,0.49,0.97,0.97,0.97,,-0.49,0.49,0.97,-1.46,-0.49,0.0,,0.49,0.97,0.0,0.49,-0.49,0.97,1.46,,,,,1.46,,,0.97,,,,0.97,,0.97,1.46,,,,0.97,1.94,0.49,,1.94,0.49,,-0.49,,,1.94,,-1.46,0.97,
deathproof,0.26,0.75,1.25,,0.26,0.26,0.75,0.75,1.25,0.75,,0.75,,-0.23,0.26,0.75,,-1.21,0.75,0.75,-0.23,-2.19,0.26,0.26,0.75,-0.23,1.25,-0.72,-0.72,-1.21,0.26,1.25,0.26,-2.19,0.26,-2.19,1.74,0.75,,1.25,0.75,1.74,0.75,1.25,-0.72,0.75,0.75,-0.72,0.75,0.75,1.25,1.25,1.74,0.26,0.75,0.75,0.75,-2.68,-0.23,0.75,1.25,0.75,-1.21,1.74,-0.72
davidehrlich,1.54,-0.05,0.48,-0.59,2.07,-1.65,-0.05,0.48,1.54,-0.05,-0.59,1.54,-0.59,0.48,1.01,1.01,1.01,-1.65,0.48,1.54,1.01,-1.12,-0.05,0.48,-1.12,1.01,1.01,-1.65,0.48,,1.01,1.54,,-0.05,-1.12,-0.59,1.54,0.48,-1.65,1.01,,1.01,0.48,-0.05,0.48,1.54,-0.05,1.54,2.07,0.48,-0.05,1.54,1.54,,-0.05,0.48,,-0.59,-0.59,-1.12,,1.01,1.01,,-0.05
thejoshl,0.81,-1.21,0.81,-2.22,,-0.2,,1.82,-0.2,0.81,-1.21,-0.2,-0.2,0.81,0.81,-1.21,0.81,-0.2,-1.21,0.81,0.81,-2.22,-0.2,,0.81,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.81,-0.2,0.81,-0.2,-1.21,-0.2,-0.2,-2.22,-0.2,-0.2,0.81,-0.2,-0.2,-0.2,-0.2,0.81,0.81,0.81,-1.21,0.81,0.81,-0.2,-1.21,,-1.21,0.81,-0.2,-1.21,0.81,1.82,-2.22,0.81,0.81,-1.21
colonelmortimer,0.45,0.45,1.04,,-0.14,-1.91,,-0.73,-0.14,-0.14,-0.14,0.45,,-0.14,1.04,,1.62,,-0.14,-0.73,-0.14,-2.49,-0.14,,1.62,-0.73,0.45,0.45,-0.14,-0.14,-0.14,0.45,-0.14,1.62,-0.14,-1.32,-0.73,1.04,-1.32,,-0.73,-0.14,-0.14,-0.14,0.45,1.04,1.04,-0.14,1.04,-0.14,1.62,0.45,-0.14,-0.14,1.62,,0.45,-0.14,0.45,1.04,1.62,-0.14,1.04,1.04,-1.91
superpulse,0.94,,1.44,-1.06,1.94,0.44,,0.94,0.94,0.94,0.94,0.94,-0.56,,0.94,0.44,0.94,-0.56,0.44,0.94,,,,0.44,1.44,-0.06,,0.44,0.44,,0.94,,,1.44,-0.56,-0.06,1.44,0.94,-1.06,1.44,0.44,1.94,,,1.94,1.94,0.94,0.94,0.44,0.44,1.44,1.44,1.44,,0.94,,0.94,0.44,-0.56,0.44,1.44,-0.06,1.94,1.94,0.44
zoerosebryant,1.72,0.79,0.32,,0.79,1.25,-0.62,1.25,1.72,1.72,0.79,1.72,0.79,1.72,0.79,1.72,1.72,0.79,1.72,,1.72,,1.25,0.79,1.72,1.25,1.72,1.25,0.79,,0.79,1.72,0.79,1.72,1.72,0.79,0.32,0.79,0.79,1.25,1.25,0.79,1.25,0.79,1.25,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,0.79,1.72,0.79,1.25,-1.08,1.25,1.25,1.72,-1.08,1.72,0.79,0.79
davidlsims,1.04,0.13,0.58,-1.24,1.49,0.58,,1.49,0.13,0.58,0.13,0.58,-0.33,1.49,1.04,1.04,1.04,0.58,0.58,1.49,1.49,,-0.33,0.58,1.04,1.04,1.04,0.13,-0.33,-1.24,0.58,1.49,-1.24,1.04,-0.33,-1.24,1.04,0.58,-2.15,0.58,0.58,1.04,,0.58,-0.33,1.49,1.04,1.04,1.04,-1.24,0.58,1.49,0.58,0.13,1.49,-0.33,1.04,-0.33,-1.24,0.58,1.49,-1.24,0.58,1.49,-0.33
jaragon23,,,,-1.85,1.58,,-0.38,,,1.09,,1.58,0.6,,,,1.09,-0.38,0.6,1.09,0.6,-0.38,0.6,0.11,0.6,0.6,0.6,0.6,0.11,0.11,1.09,1.58,-0.38,,,,,,-1.85,,0.6,,,1.09,,,,,,,,,,,,,,,,,1.58,,,0.6,
sapphicquinn,,,,,,,,,,,,1.44,,1.44,1.44,,1.03,0.23,-0.98,0.23,1.44,-0.98,0.63,,,-0.58,-0.18,,0.63,-0.58,1.03,1.44,-0.18,0.63,0.63,,,1.03,-2.19,-0.58,,1.44,,,,0.23,1.44,-0.98,,0.63,0.63,1.44,0.63,,0.23,,1.03,,,,,,,1.44,
tototoro,-0.37,,,,,0.42,,1.2,0.42,,,,,,,,0.42,,,,,,,,1.6,,,,,-0.76,0.02,1.6,0.02,-0.76,,-1.55,0.81,1.6,-1.55,0.81,0.42,,,1.6,-1.16,1.6,0.81,,0.81,0.02,1.6,1.6,1.6,0.81,1.6,1.6,,-0.76,-1.55,1.2,1.2,,,1.2,
jonathanfujii,,0.39,1.43,-1.7,0.39,-0.66,-0.14,0.91,,1.43,0.91,,0.39,-0.14,0.91,,,,-0.14,,1.43,,,0.39,,0.39,0.39,1.43,0.39,0.91,0.91,1.95,,,1.43,0.39,,,,,,0.91,,,0.39,1.43,1.95,1.43,0.91,-0.14,,1.43,1.95,,1.43,0.39,1.95,-0.66,0.91,0.91,1.43,1.43,0.91,0.91,0.91
dirkh,,,0.9,,,,,0.9,-0.78,,,1.74,,,,,0.9,,,,,1.74,,,0.06,,,,,,1.32,0.9,0.06,0.9,,,,0.48,-0.78,,,,,-1.2,,1.32,0.06,,1.74,,1.74,1.32,1.74,,1.74,-1.2,,0.06,,0.9,1.74,1.74,1.74,1.74,0.48
itsrambb,1.47,0.71,1.47,-1.17,1.09,1.47,0.34,,,1.09,0.34,1.47,1.09,1.47,1.47,1.09,1.47,1.47,,1.09,1.09,-0.79,0.71,1.47,1.09,,,,,1.09,1.09,1.47,1.09,1.47,1.09,0.71,,1.47,-0.41,1.47,0.71,1.09,,1.09,1.09,1.47,1.47,1.09,0.71,1.47,1.47,1.09,1.47,1.09,1.09,,1.47,,-0.04,0.71,1.09,,1.47,1.47,
stk5,1.63,0.7,1.17,-1.61,0.24,,-0.22,0.7,,1.17,0.24,1.63,-0.22,,,0.24,1.17,0.7,,-0.22,,,0.24,-0.22,1.17,,-0.22,,,,,,,,,,,,-2.07,,,,,,,,1.17,,,,,,0.7,,,,,,,,1.63,,,,
eely,,,,,,-0.54,,-1.06,1.04,1.04,0.52,-0.54,,1.04,1.04,,-1.06,,0.52,1.57,-0.54,-0.54,-0.01,0.52,-1.06,-1.06,-0.54,0.52,,1.04,1.04,1.57,1.04,-0.01,-0.01,-1.06,2.09,1.04,-2.12,2.09,1.04,1.57,1.04,1.04,-0.54,1.04,1.04,2.09,-0.01,1.57,,2.09,1.04,0.52,1.04,,0.52,,,,,,-0.54,,
elementarii,,0.19,,,,,,1.02,,,,,,,,,,,,,,,,,0.19,,,-1.46,,,0.19,1.02,0.19,0.19,,,1.02,,-1.46,,,,0.19,0.19,,,1.02,0.19,0.19,,1.84,1.84,,,1.84,,1.02,,,,,-0.64,-1.46,,-0.64
mrmoviesrd,-0.65,0.86,1.62,-0.65,0.86,0.86,,0.86,0.86,1.62,0.86,0.86,0.86,-0.65,1.62,-0.65,0.86,0.11,0.86,1.62,0.11,-1.41,0.86,1.62,0.86,0.86,0.86,0.11,0.11,0.11,0.11,1.62,1.62,0.86,1.62,0.86,2.38,0.11,,,0.11,0.86,1.62,,1.62,,1.62,0.86,0.86,,1.62,,,,0.86,,0.86,,,0.86,1.62,,,1.62,
kun,1.39,0.91,1.39,-1.01,1.39,-0.53,-0.53,1.39,1.39,0.43,,0.91,0.43,0.43,0.91,,0.43,-0.53,,0.43,,-1.01,0.43,,1.39,,,-0.53,0.43,-0.53,-0.05,1.88,-0.05,0.91,-1.01,-1.01,1.39,0.43,-1.97,0.91,0.43,0.91,-0.53,0.43,0.91,1.39,,1.39,0.91,-0.05,1.39,1.39,1.39,,1.88,,,,,,1.88,,,0.91,
