moviename,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,total
anora,19791,28724,19071,71725,79269,243629,302981,637817,341139,327475,2071621
conclave,1975,4483,4018,22017,34376,164693,305797,662101,258972,220027,1678459
the-brutalist,3112,4769,4005,17371,23480,73049,110078,216286,133509,89985,675644
emilia-perez,127623,87080,52805,76352,52956,62687,42094,44554,13016,15308,574475
nickel-boys,419,1029,1108,4744,6915,20388,30017,63108,43724,38190,209642
wicked-2024,9997,19852,14799,61545,71555,243556,274913,561207,263816,591828,2113068
maria-2024,374,1288,1674,7460,11842,29255,25017,25104,6550,7950,116514
oppenheimer-2023,8198,20516,11043,70146,62179,308936,330913,981533,663774,1047432,3504670
poor-things-2023,20820,34255,19107,74880,65733,214285,246782,628767,399805,542661,2247095
the-holdovers,691,1975,1562,8866,13290,70845,133874,415146,292260,324401,1262910
american-fiction,529,1592,1944,10072,17664,74802,132757,186399,52833,37022,515614
everything-everywhere-all-at-once,15267,34340,16221,80189,59255,241092,232417,688910,490243,1527110,3385044
all-quiet-on-the-western-front-2022,1473,2694,2578,12850,19228,80577,133851,329082,162194,174426,918953
the-fabelmans,1031,2536,2465,11029,15373,57403,87327,178878,101415,89972,547429
the-banshees-of-inisherin,1903,5246,3329,17879,19639,85917,137120,386856,233815,204324,1096028
women-talking,816,1638,1785,6238,8525,24478,33955,60642,25043,22662,185782
top-gun-maverick,5573,13018,8268,43393,46032,206878,247603,594699,289398,393966,1848828
elvis-2022,9126,21017,18000,68528,77960,216479,196327,230073,61325,91991,990826
coda-2021,1225,2532,2522,10401,14186,49512,69476,123138,52016,63791,388799
the-power-of-the-dog,2623,6378,4902,21668,24975,78990,98372,152341,55787,38597,484633
west-side-story-2021,2653,5854,4804,20443,23682,71805,77253,121500,51574,50006,429574
dont-look-up-2021,29791,81643,60313,244763,215384,562832,344167,375308,69070,112729,2096000
king-richard,461,1098,1433,7122,12937,55411,80071,102264,25528,23487,309812
tick-tick-boom-2021,2191,5984,4632,20552,25161,97684,133481,249852,96895,141431,777863
dune-2021,12152,37143,17723,111999,92558,435018,453424,1123771,474551,625705,3384044
mank,1497,4297,4016,17023,21555,53251,48178,43938,10228,5786,209769
nomadland,2639,6006,4376,18650,21383,69187,85070,155834,68656,61936,493737
the-trial-of-the-chicago-7,936,2345,2680,11276,17605,63211,87403,129270,39459,37414,391599
borat-subsequent-moviefilm,4788,9069,8183,29611,37513,112109,101786,83190,14583,20546,421378
promising-young-woman,6163,11179,9260,32238,38141,105815,126320,208080,76117,107090,720403
palm-springs-2020,1111,3345,3170,15757,24744,110987,172722,279006,78570,73524,762936
parasite-2019,3912,9434,4233,27885,23773,161835,190856,951879,760295,2300068,4434170
1917,1500,4664,3684,22192,27015,150409,214949,587668,283800,357504,1653385
once-upon-a-time-in-hollywood,9730,32079,17791,111545,92904,422631,409885,815097,307657,406159,2625478
jojo-rabbit,4669,10625,7212,37276,39685,199125,254070,658174,281746,450126,1942708
green-book,4127,8880,7901,30050,35801,114601,150025,300659,127421,158370,937835
roma-2018,1981,4558,2713,12670,11839,45702,52573,130676,75404,100399,438515
black-panther,7435,21560,15898,93839,101835,445550,381466,729632,183604,423501,2404320
bohemian-rhapsody,14029,32307,28835,98418,98610,294856,254468,395453,108193,240917,1566086
eighth-grade,2661,5082,3510,14708,15607,60376,76725,139823,54900,54854,428246
can-you-ever-forgive-me,113,337,410,2125,3896,16320,23664,28023,6332,3638,84858
the-favorite-2019,12,10,3,11,9,23,18,44,3,19,152
cold-war-2018,251,659,723,3150,4661,17437,27096,53666,28086,29773,165502
the-shape-of-water,8293,19161,9928,49410,41911,156752,153472,269309,92673,130556,931465
three-billboards-outside-ebbing-missouri,2228,5621,4436,17088,18632,69351,98759,254935,137667,140549,749266
lady-bird,8928,25354,15130,96560,79892,406580,347037,792532,266689,585402,2624104
get-out-2017,4075,11803,7275,49416,47946,321079,366031,1199254,545207,1074982,3627068
call-me-by-your-name,22423,40769,22333,104820,81639,319169,265118,620740,255841,677786,2410638
dunkirk-2017,3910,12670,9035,56046,57656,269853,289569,546246,172971,198705,1616661
i-tonya,823,3054,2822,18600,25426,144596,192618,378414,112280,165204,1043837
blade-runner-2049,3834,12130,7269,44522,40296,188895,213187,549852,326137,463888,1850010
moonlight-2016,3739,7594,3935,23127,21406,103450,117391,338469,201201,426055,1246367
la-la-land,16972,50912,18229,123346,73511,371841,295689,899636,478443,1448203,3776782
hidden-figures,713,1746,1946,9915,16247,76335,106533,193006,57088,106187,569716
arrival-2016,3351,11395,6589,46428,40039,213646,230488,640185,358506,554188,2104815
lion,429,1277,1336,6682,9882,44306,63790,117435,38229,52890,336256
spotlight,496,1340,1168,6610,9467,50765,78134,204477,94452,93989,540898
the-big-short,1926,5663,4724,23127,30770,129494,183161,322813,113074,103628,918380
the-revenant-2015,2810,9293,5832,35327,35225,164092,196882,407600,155312,165499,1177872
the-martian,2170,7150,5862,37352,46553,240652,286920,507933,146453,166481,1447526
mad-max-fury-road,4737,13970,6984,42294,34665,180098,187711,538625,312732,562131,1883947
birdman-or-the-unexpected-virtue-of-ignorance,4257,12467,6276,34185,28596,122600,144301,343419,171802,192193,1060096
boyhood,3333,8184,5417,24992,24088,86662,89606,163306,68122,98026,571736
the-grand-budapest-hotel,2500,8892,4492,34987,29935,204973,230053,787336,442578,804822,2550568
the-imitation-game,1232,3552,3899,21765,32784,150406,201745,342219,98237,128973,984812
